Id, Nombre
01,CASA DE SU MAJESTAD EL REY
02,CORTES GENERALES
03,TRIBUNAL DE CUENTAS
04,TRIBUNAL CONSTITUCIONAL
05,CONSEJO DE ESTADO
06,DEUDA PÚBLICA
07,CLASES PASIVAS
08,CONSEJO GENERAL DEL PODER JUDICIAL
12,MINISTERIO DE ASUNTOS EXTERIORES Y DE COOPERACIÓN
13,MINISTERIO DE JUSTICIA
14,MINISTERIO DE DEFENSA
15,MINISTERIO DE ECONOMÍA Y HACIENDA
16,MINISTERIO DEL INTERIOR
17,MINISTERIO DE FOMENTO
18,MINISTERIO DE EDUCACIÓN Y CIENCIA
19,MINISTERIO DE TRABAJO Y ASUNTOS SOCIALES
20,MINISTERIO DE INDUSTRIA, TURISMO Y COMERCIO
21,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN
22,MINISTERIO DE ADMINISTRACIONES PÚBLICAS
23,MINISTERIO DE MEDIO AMBIENTE
24,MINISTERIO DE CULTURA
25,MINISTERIO DE LA PRESIDENCIA
26,MINISTERIO DE SANIDAD Y CONSUMO
27,MINISTERIO DE VIVIENDA
31,GASTOS DE DIVERSOS MINISTERIOS
32,ENTES TERRITORIALES
33,FONDOS DE COMPENSACIÓN INTERTERRITORIAL
34,RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA
35,FONDO DE CONTINGENCIA
